"Years" "Months" "Days" "TX"
"6294" 1893 3 25 7.1
"6295" 1893 3 26 6.3
"6296" 1893 3 27 8.5
"6297" 1893 3 28 12
"6298" 1893 3 29 12.1
"6299" 1893 3 30 8.6
"6300" 1893 3 31 12.3
"6301" 1893 4 1 15.5
"6302" 1893 4 2 18.2
"6303" 1893 4 3 16.9
"6304" 1893 4 4 12.2
"6305" 1893 4 5 13.6
"6306" 1893 4 6 15.6
"6307" 1893 4 7 16.9
"6308" 1893 4 8 16.8
"6309" 1893 4 9 15
"6310" 1893 4 10 16.9
"6311" 1893 4 11 12.9
"6312" 1893 4 12 9.8
"6313" 1893 4 13 7.3
"6314" 1893 4 14 8.1
"6315" 1893 4 15 13.8
"6316" 1893 4 16 10.8
"6317" 1893 4 17 6.7
"6318" 1893 4 18 9.9
"6319" 1893 4 19 16
"6320" 1893 4 20 17.2
"6321" 1893 4 21 19
"6322" 1893 4 22 15.7
"6323" 1893 4 23 14.4
"6324" 1893 4 24 18.5
"6325" 1893 4 25 14.5
"6326" 1893 4 26 21
"6327" 1893 4 27 16.7
"6328" 1893 4 28 8.1
"6329" 1893 4 29 12.8
"6330" 1893 4 30 15.2
"6331" 1893 5 1 12.1
"6332" 1893 5 2 9.8
"6333" 1893 5 3 13.5
"6334" 1893 5 4 10.5
"6335" 1893 5 5 10.4
"6336" 1893 5 6 8.9
"6337" 1893 5 7 10.4
"6338" 1893 5 8 19.4
"6339" 1893 5 9 20.3
"6340" 1893 5 10 21.4
"6341" 1893 5 11 17.3
"6342" 1893 5 12 19.9
"6343" 1893 5 13 20.3
"6344" 1893 5 14 21.7
"6345" 1893 5 15 24.5
"6346" 1893 5 16 24.9
"6347" 1893 5 17 23.6
"6348" 1893 5 18 24
"6349" 1893 5 19 21.2
"6350" 1893 5 20 16.6
"6351" 1893 5 21 16.8
"6352" 1893 5 22 25.4
"6353" 1893 5 23 29.4
"6354" 1893 5 24 27.8
"6355" 1893 5 25 20
"6356" 1893 5 26 17.1
"6357" 1893 5 27 14
"6358" 1893 5 28 15.9
"6359" 1893 5 29 16.4
"6360" 1893 5 30 14.4
"6361" 1893 5 31 17.4
"6362" 1893 6 1 16.5
"6363" 1893 6 2 18.8
"6364" 1893 6 3 21.9
"6365" 1893 6 4 22.8
"6366" 1893 6 5 22.9
"6367" 1893 6 6 22.5
"6368" 1893 6 7 23.4
"6369" 1893 6 8 24.9
"6370" 1893 6 9 23.4
"6371" 1893 6 10 21
"6372" 1893 6 11 14.9
"6373" 1893 6 12 19
"6374" 1893 6 13 24.1
"6375" 1893 6 14 26.2
"6376" 1893 6 15 27.5
"6377" 1893 6 16 27.2
"6378" 1893 6 17 28.5
"6379" 1893 6 18 28.1
"6380" 1893 6 19 30.5
"6381" 1893 6 20 24.1
"6382" 1893 6 21 17.9
"6383" 1893 6 22 19.5
"6384" 1893 6 23 23.9
"6385" 1893 6 24 21.5
"6386" 1893 6 25 20.7
"6387" 1893 6 26 20.5
"6388" 1893 6 27 22.1
"6389" 1893 6 28 33.4
"6390" 1893 6 29 26.5
"6391" 1893 6 30 23.4
"6392" 1893 7 1 19
"6393" 1893 7 2 27.4
"6394" 1893 7 3 26.1
"6395" 1893 7 4 24.2
"6396" 1893 7 5 25.1
"6397" 1893 7 6 27
"6398" 1893 7 7 29.5
"6399" 1893 7 8 31
"6400" 1893 7 9 32.5
"6401" 1893 7 10 29.9
"6402" 1893 7 11 28.6
"6403" 1893 7 12 29.5
"6404" 1893 7 13 26.7
"6405" 1893 7 14 26.4
"6406" 1893 7 15 23.5
"6407" 1893 7 16 22
"6408" 1893 7 17 23
"6409" 1893 7 18 20.4
"6410" 1893 7 19 22
"6411" 1893 7 20 30.5
"6412" 1893 7 21 31
"6413" 1893 7 22 24.8
"6414" 1893 7 23 21.9
"6415" 1893 7 24 24.5
"6416" 1893 7 25 25
"6417" 1893 7 26 26
"6418" 1893 7 27 21.4
"6419" 1893 7 28 21.3
"6420" 1893 7 29 20.5
"6421" 1893 7 30 17.1
"6422" 1893 7 31 16.3
"6423" 1893 8 1 17.9
"6424" 1893 8 2 21
"6425" 1893 8 3 22.5
"6426" 1893 8 4 27.2
"6427" 1893 8 5 23.3
"6428" 1893 8 6 21.4
"6429" 1893 8 7 20
"6430" 1893 8 8 21.5
"6431" 1893 8 9 20.5
"6432" 1893 8 10 23.5
"6433" 1893 8 11 25.8
"6434" 1893 8 12 26.5
"6435" 1893 8 13 23.7
"6436" 1893 8 14 20.5
"6437" 1893 8 15 20.5
"6438" 1893 8 16 26.6
"6439" 1893 8 17 25.2
"6440" 1893 8 18 26.2
"6441" 1893 8 19 31.1
"6442" 1893 8 20 30.9
"6443" 1893 8 21 30.8
"6444" 1893 8 22 28.5
"6445" 1893 8 23 26.5
"6446" 1893 8 24 23.3
"6447" 1893 8 25 19.1
"6448" 1893 8 26 16.9
"6449" 1893 8 27 17
"6450" 1893 8 28 19.4
"6451" 1893 8 29 17.4
"6452" 1893 8 30 19
"6453" 1893 8 31 16.1
"6454" 1893 9 1 15.9
"6455" 1893 9 2 12.1
"6456" 1893 9 3 16.3
"6457" 1893 9 4 16.2
"6458" 1893 9 5 17.2
"6459" 1893 9 6 22
"6460" 1893 9 7 21
"6461" 1893 9 8 20.4
"6462" 1893 9 9 16.9
"6463" 1893 9 10 14.4
"6464" 1893 9 11 15.1
"6465" 1893 9 12 16.9
"6466" 1893 9 13 19.3
"6467" 1893 9 14 18.4
"6468" 1893 9 15 19.4
"6469" 1893 9 16 23.1
"6470" 1893 9 17 24
"6471" 1893 9 18 16.9
"6472" 1893 9 19 20.7
"6473" 1893 9 20 21.7
"6474" 1893 9 21 20.4
"6475" 1893 9 22 17.4
"6476" 1893 9 23 15
"6477" 1893 9 24 14.3
"6478" 1893 9 25 15
"6479" 1893 9 26 13
"6480" 1893 9 27 14.1
"6481" 1893 9 28 15.6
"6482" 1893 9 29 19.7
"6483" 1893 9 30 21.8
"6484" 1893 10 1 16.9
"6485" 1893 10 2 16.9
"6486" 1893 10 3 16.7
"6487" 1893 10 4 13.4
"6488" 1893 10 5 15.9
"6489" 1893 10 6 19.9
"6490" 1893 10 7 20.9
"6491" 1893 10 8 21.4
"6492" 1893 10 9 23.9
"6493" 1893 10 10 18.9
"6494" 1893 10 11 17.7
"6495" 1893 10 12 17
"6496" 1893 10 13 12.1
"6497" 1893 10 14 11.3
"6498" 1893 10 15 15.4
"6499" 1893 10 16 15.8
"6500" 1893 10 17 15.4
"6501" 1893 10 18 12.4
"6502" 1893 10 19 9.1
"6503" 1893 10 20 11.4
"6504" 1893 10 21 11.2
"6505" 1893 10 22 14.2
"6506" 1893 10 23 12.3
"6507" 1893 10 24 10.8
"6508" 1893 10 25 11.4
"6509" 1893 10 26 13.4
"6510" 1893 10 27 8.9
"6511" 1893 10 28 10.2
"6512" 1893 10 29 11.1
"6513" 1893 10 30 9.9
"6514" 1893 10 31 6.8
"6515" 1893 11 1 7.3
"6516" 1893 11 2 8.4
"6517" 1893 11 3 8.8
"6518" 1893 11 4 12.9
"6519" 1893 11 5 7.4
"6520" 1893 11 6 6.6
"6521" 1893 11 7 4.4
"6522" 1893 11 8 3
"6523" 1893 11 9 2.4
"6524" 1893 11 10 2
"6525" 1893 11 11 1.4
"6526" 1893 11 12 2.8
"6527" 1893 11 13 2.2
"6528" 1893 11 14 3.4
"6529" 1893 11 15 4.9
"6530" 1893 11 16 5.6
"6531" 1893 11 17 4
"6532" 1893 11 18 7.2
"6533" 1893 11 19 6.1
"6534" 1893 11 20 6.4
"6535" 1893 11 21 3.1
"6536" 1893 11 22 2.8
"6537" 1893 11 23 2.9
"6538" 1893 11 24 2
"6539" 1893 11 25 4.4
"6540" 1893 11 26 6.6
"6541" 1893 11 27 6.6
"6542" 1893 11 28 6.1
"6543" 1893 11 29 9.9
"6544" 1893 11 30 8.9
"6545" 1893 12 1 5.4
"6546" 1893 12 2 3.9
"6547" 1893 12 3 0.7
"6548" 1893 12 4 0.7
"6549" 1893 12 5 2.4
"6550" 1893 12 6 1.3
"6551" 1893 12 7 -0.9
"6552" 1893 12 8 1.4
"6553" 1893 12 9 -0.4
"6554" 1893 12 10 2.3
"6555" 1893 12 11 1
"6556" 1893 12 12 4.2
"6557" 1893 12 13 4.1
"6558" 1893 12 14 8.8
"6559" 1893 12 15 6.9
"6560" 1893 12 16 7.7
"6561" 1893 12 17 7.3
"6562" 1893 12 18 5.5
"6563" 1893 12 19 3.1
"6564" 1893 12 20 5
"6565" 1893 12 21 7
"6566" 1893 12 22 3.6
"6567" 1893 12 23 3
"6568" 1893 12 24 5.4
"6569" 1893 12 25 5
"6570" 1893 12 26 4.5
"6571" 1893 12 27 4.2
"6572" 1893 12 28 2.1
"6573" 1893 12 29 1.1
"6574" 1893 12 30 -1.1
"6575" 1893 12 31 1.7
"6576" 1894 1 1 1.6
"6577" 1894 1 2 -0.7
"6578" 1894 1 3 -7.4
"6579" 1894 1 4 -10.4
"6580" 1894 1 5 -13.7
"6581" 1894 1 6 -3.8
"6582" 1894 1 7 -2.5
"6583" 1894 1 8 -1.7
"6584" 1894 1 9 -1.1
"6585" 1894 1 10 -3.6
"6586" 1894 1 11 -1.6
"6587" 1894 1 12 1
"6588" 1894 1 13 1.5
"6589" 1894 1 14 -1.5
"6590" 1894 1 15 2.4
"6591" 1894 1 16 4.4
"6592" 1894 1 17 5
"6593" 1894 1 18 5.2
"6594" 1894 1 19 6.7
"6595" 1894 1 20 6.5
"6596" 1894 1 21 7
"6597" 1894 1 22 6.9
"6598" 1894 1 23 6
"6599" 1894 1 24 3.3
"6600" 1894 1 25 3.4
"6601" 1894 1 26 4.7
"6602" 1894 1 27 4.9
"6603" 1894 1 28 6.7
"6604" 1894 1 29 4.2
"6605" 1894 1 30 3.1
"6606" 1894 1 31 4.3
"6607" 1894 2 1 5.9
"6608" 1894 2 2 8.2
"6609" 1894 2 3 9.2
"6610" 1894 2 4 7.6
"6611" 1894 2 5 7.8
"6612" 1894 2 6 5.4
"6613" 1894 2 7 11.1
"6614" 1894 2 8 11.4
"6615" 1894 2 9 6.8
"6616" 1894 2 10 8.1
"6617" 1894 2 11 8.4
"6618" 1894 2 12 10
"6619" 1894 2 13 5.5
"6620" 1894 2 14 3.9
"6621" 1894 2 15 2.9
"6622" 1894 2 16 -0.2
"6623" 1894 2 17 -2.1
"6624" 1894 2 18 -2
"6625" 1894 2 19 0.8
"6626" 1894 2 20 1.1
"6627" 1894 2 21 2.3
"6628" 1894 2 22 2.4
"6629" 1894 2 23 4.4
"6630" 1894 2 24 3.4
"6631" 1894 2 25 5.7
"6632" 1894 2 26 8.4
"6633" 1894 2 27 9.4
"6634" 1894 2 28 9.4
"6635" 1894 3 1 7.3
"6636" 1894 3 2 7.2
"6637" 1894 3 3 9.2
"6638" 1894 3 4 8.5
"6639" 1894 3 5 6.4
"6640" 1894 3 6 3.8
"6641" 1894 3 7 5.3
"6642" 1894 3 8 6.4
"6643" 1894 3 9 7.7
"6644" 1894 3 10 10.4
"6645" 1894 3 11 11.4
"6646" 1894 3 12 9.3
"6647" 1894 3 13 12.4
"6648" 1894 3 14 10.2
"6649" 1894 3 15 7.4
"6650" 1894 3 16 5.1
"6651" 1894 3 17 5.9
"6652" 1894 3 18 7.5
"6653" 1894 3 19 7.4
"6654" 1894 3 20 8.9
"6655" 1894 3 21 12
"6656" 1894 3 22 11
"6657" 1894 3 23 12.6
"6658" 1894 3 24 9.9
"6659" 1894 3 25 12.3
"6660" 1894 3 26 13.3
"6661" 1894 3 27 14.9
"6662" 1894 3 28 9.9
"6663" 1894 3 29 13
"6664" 1894 3 30 18.3
"6665" 1894 3 31 16.8
"6666" 1894 4 1 16.4
"6667" 1894 4 2 11.8
"6668" 1894 4 3 9.5
"6669" 1894 4 4 13.3
"6670" 1894 4 5 11.6
"6671" 1894 4 6 14.5
"6672" 1894 4 7 16.5
"6673" 1894 4 8 16.8
"6674" 1894 4 9 16.9
"6675" 1894 4 10 16.9
"6676" 1894 4 11 15.4
"6677" 1894 4 12 9.3
"6678" 1894 4 13 12.7
"6679" 1894 4 14 16.9
"6680" 1894 4 15 18.9
"6681" 1894 4 16 21.3
"6682" 1894 4 17 21.6
"6683" 1894 4 18 15.9
"6684" 1894 4 19 17.4
"6685" 1894 4 20 12.8
"6686" 1894 4 21 11.9
"6687" 1894 4 22 9.5
"6688" 1894 4 23 9.9
"6689" 1894 4 24 16.6
"6690" 1894 4 25 20.8
"6691" 1894 4 26 22.7
"6692" 1894 4 27 22.5
"6693" 1894 4 28 15.5
"6694" 1894 4 29 10.6
"6695" 1894 4 30 12.8
"6696" 1894 5 1 12.2
"6697" 1894 5 2 18.2
"6698" 1894 5 3 16.8
"6699" 1894 5 4 12.9
"6700" 1894 5 5 9.5
"6701" 1894 5 6 15.4
"6702" 1894 5 7 19.9
"6703" 1894 5 8 16.7
"6704" 1894 5 9 21
"6705" 1894 5 10 23.1
"6706" 1894 5 11 15.7
"6707" 1894 5 12 18.9
"6708" 1894 5 13 23.3
"6709" 1894 5 14 23.3
"6710" 1894 5 15 24.5
"6711" 1894 5 16 25.6
"6712" 1894 5 17 26
"6713" 1894 5 18 22.9
"6714" 1894 5 19 17.5
"6715" 1894 5 20 15.6
"6716" 1894 5 21 12.1
"6717" 1894 5 22 9.8
"6718" 1894 5 23 11.4
"6719" 1894 5 24 18.4
"6720" 1894 5 25 20.2
"6721" 1894 5 26 15.5
"6722" 1894 5 27 13.1
"6723" 1894 5 28 15.5
"6724" 1894 5 29 17.6
"6725" 1894 5 30 17.9
"6726" 1894 5 31 21.3
"6727" 1894 6 1 21
"6728" 1894 6 2 21.2
"6729" 1894 6 3 15.9
"6730" 1894 6 4 20
"6731" 1894 6 5 21.6
"6732" 1894 6 6 23.2
"6733" 1894 6 7 19.5
"6734" 1894 6 8 15.9
"6735" 1894 6 9 17.5
"6736" 1894 6 10 15.4
"6737" 1894 6 11 17.7
"6738" 1894 6 12 14.4
"6739" 1894 6 13 17.3
"6740" 1894 6 14 17.8
"6741" 1894 6 15 18.7
"6742" 1894 6 16 21.4
"6743" 1894 6 17 22.7
"6744" 1894 6 18 26.9
"6745" 1894 6 19 20.4
"6746" 1894 6 20 19.8
"6747" 1894 6 21 17.3
"6748" 1894 6 22 27.1
"6749" 1894 6 23 26
"6750" 1894 6 24 24
"6751" 1894 6 25 19.8
"6752" 1894 6 26 16.4
"6753" 1894 6 27 22.5
"6754" 1894 6 28 23.9
"6755" 1894 6 29 29
"6756" 1894 6 30 30.5
"6757" 1894 7 1 29.4
"6758" 1894 7 2 31.2
"6759" 1894 7 3 30.4
"6760" 1894 7 4 23
"6761" 1894 7 5 22.9
"6762" 1894 7 6 28.7
"6763" 1894 7 7 31.8
"6764" 1894 7 8 23.5
"6765" 1894 7 9 24.5
"6766" 1894 7 10 29.2
"6767" 1894 7 11 22.6
"6768" 1894 7 12 24.9
"6769" 1894 7 13 25.9
"6770" 1894 7 14 24.4
"6771" 1894 7 15 24
"6772" 1894 7 16 23.7
"6773" 1894 7 17 22
"6774" 1894 7 18 23.8
"6775" 1894 7 19 20.8
"6776" 1894 7 20 21.4
"6777" 1894 7 21 24
"6778" 1894 7 22 27.6
"6779" 1894 7 23 32.8
"6780" 1894 7 24 35.1
"6781" 1894 7 25 28
"6782" 1894 7 26 25.2
"6783" 1894 7 27 22.4
"6784" 1894 7 28 24.7
"6785" 1894 7 29 27.7
"6786" 1894 7 30 28.9
"6787" 1894 7 31 22
"6788" 1894 8 1 19.3
"6789" 1894 8 2 24.5
"6790" 1894 8 3 25.3
"6791" 1894 8 4 23.2
"6792" 1894 8 5 25
"6793" 1894 8 6 27.3
"6794" 1894 8 7 29.5
"6795" 1894 8 8 24
"6796" 1894 8 9 23.5
"6797" 1894 8 10 22
"6798" 1894 8 11 21
"6799" 1894 8 12 19.3
"6800" 1894 8 13 16.6
"6801" 1894 8 14 17.1
"6802" 1894 8 15 23.9
"6803" 1894 8 16 23
"6804" 1894 8 17 19.9
"6805" 1894 8 18 17.5
"6806" 1894 8 19 18.9
"6807" 1894 8 20 15.9
"6808" 1894 8 21 17.9
"6809" 1894 8 22 17.8
"6810" 1894 8 23 19.6
"6811" 1894 8 24 19.2
"6812" 1894 8 25 18.3
"6813" 1894 8 26 19.8
"6814" 1894 8 27 21.7
"6815" 1894 8 28 18.8
"6816" 1894 8 29 16
"6817" 1894 8 30 17.4
"6818" 1894 8 31 21.2
"6819" 1894 9 1 22.7
"6820" 1894 9 2 18.3
"6821" 1894 9 3 14.9
"6822" 1894 9 4 15.8
"6823" 1894 9 5 17.6
"6824" 1894 9 6 18.2
"6825" 1894 9 7 16.5
"6826" 1894 9 8 13.9
"6827" 1894 9 9 11.8
"6828" 1894 9 10 14.5
"6829" 1894 9 11 16.5
"6830" 1894 9 12 16.2
"6831" 1894 9 13 15.8
"6832" 1894 9 14 14.4
"6833" 1894 9 15 15.4
"6834" 1894 9 16 17.4
"6835" 1894 9 17 18.1
"6836" 1894 9 18 18.4
"6837" 1894 9 19 19.4
"6838" 1894 9 20 20.4
"6839" 1894 9 21 20.3
"6840" 1894 9 22 18.7
"6841" 1894 9 23 14.9
"6842" 1894 9 24 15.1
"6843" 1894 9 25 15.9
"6844" 1894 9 26 19.6
"6845" 1894 9 27 15.5
"6846" 1894 9 28 11.3
"6847" 1894 9 29 11.3
"6848" 1894 9 30 12.6
"6849" 1894 10 1 12.7
"6850" 1894 10 2 12.4
"6851" 1894 10 3 12.8
"6852" 1894 10 4 15.2
"6853" 1894 10 5 15.7
"6854" 1894 10 6 13.8
"6855" 1894 10 7 13.8
"6856" 1894 10 8 15.8
"6857" 1894 10 9 13.9
"6858" 1894 10 10 12.8
"6859" 1894 10 11 12.4
"6860" 1894 10 12 13.6
"6861" 1894 10 13 11.6
"6862" 1894 10 14 10.5
"6863" 1894 10 15 8.4
"6864" 1894 10 16 8.4
"6865" 1894 10 17 7.1
"6866" 1894 10 18 8.4
"6867" 1894 10 19 8.8
"6868" 1894 10 20 7.7
"6869" 1894 10 21 12.9
"6870" 1894 10 22 9.3
"6871" 1894 10 23 8.7
"6872" 1894 10 24 8.5
"6873" 1894 10 25 14.2
"6874" 1894 10 26 12.1
"6875" 1894 10 27 13.9
"6876" 1894 10 28 11.9
"6877" 1894 10 29 10.5
"6878" 1894 10 30 11.3
"6879" 1894 10 31 8.3
"6880" 1894 11 1 7
"6881" 1894 11 2 9
"6882" 1894 11 3 11.5
"6883" 1894 11 4 11.8
"6884" 1894 11 5 12.3
"6885" 1894 11 6 11.4
"6886" 1894 11 7 9.9
"6887" 1894 11 8 8
"6888" 1894 11 9 8.4
"6889" 1894 11 10 6.7
"6890" 1894 11 11 9.5
"6891" 1894 11 12 10.3
"6892" 1894 11 13 12.3
"6893" 1894 11 14 8.9
"6894" 1894 11 15 13.3
"6895" 1894 11 16 11.4
"6896" 1894 11 17 8.9
"6897" 1894 11 18 8.2
"6898" 1894 11 19 9.2
"6899" 1894 11 20 6.1
"6900" 1894 11 21 6.2
"6901" 1894 11 22 6.6
"6902" 1894 11 23 6.3
"6903" 1894 11 24 5.9
"6904" 1894 11 25 3.4
"6905" 1894 11 26 1.6
"6906" 1894 11 27 0.7
"6907" 1894 11 28 -0.2
"6908" 1894 11 29 3.4
"6909" 1894 11 30 5.5
"6910" 1894 12 1 3.9
"6911" 1894 12 2 4.6
"6912" 1894 12 3 3.8
"6913" 1894 12 4 0.6
"6914" 1894 12 5 1.2
"6915" 1894 12 6 2.9
"6916" 1894 12 7 2.8
"6917" 1894 12 8 2.6
"6918" 1894 12 9 0.1
"6919" 1894 12 10 -2.2
"6920" 1894 12 11 -0.6
"6921" 1894 12 12 -2
"6922" 1894 12 13 1.3
"6923" 1894 12 14 0.7
"6924" 1894 12 15 4.9
"6925" 1894 12 16 3.5
"6926" 1894 12 17 2.2
"6927" 1894 12 18 3.3
"6928" 1894 12 19 4.9
"6929" 1894 12 20 3.9
"6930" 1894 12 21 3.4
"6931" 1894 12 22 2.9
"6932" 1894 12 23 5.9
"6933" 1894 12 24 6.3
"6934" 1894 12 25 5.9
"6935" 1894 12 26 3.1
"6936" 1894 12 27 4.8
"6937" 1894 12 28 1.8
"6938" 1894 12 29 2.5
"6939" 1894 12 30 3.2
"6940" 1894 12 31 0.2
"6941" 1895 1 1 0.2
"6942" 1895 1 2 0.1
"6943" 1895 1 3 0.1
"6944" 1895 1 4 0.8
"6945" 1895 1 5 -2.9
"6946" 1895 1 6 -3.5
"6947" 1895 1 7 -2.8
"6948" 1895 1 8 -3.4
"6949" 1895 1 9 -4.1
"6950" 1895 1 10 -0.5
"6951" 1895 1 11 1.1
"6952" 1895 1 12 0.3
"6953" 1895 1 13 -2.5
"6954" 1895 1 14 -0.7
"6955" 1895 1 15 1.6
"6956" 1895 1 16 3.8
"6957" 1895 1 17 4.1
"6958" 1895 1 18 4.9
"6959" 1895 1 19 3.3
"6960" 1895 1 20 2.8
"6961" 1895 1 21 4.6
"6962" 1895 1 22 0.7
"6963" 1895 1 23 -0.3
"6964" 1895 1 24 1.4
"6965" 1895 1 25 2
"6966" 1895 1 26 -0.2
"6967" 1895 1 27 -5.1
"6968" 1895 1 28 -8.6
"6969" 1895 1 29 -7.8
"6970" 1895 1 30 -2.6
"6971" 1895 1 31 -2.7
"6972" 1895 2 1 0.4
"6973" 1895 2 2 0.4
"6974" 1895 2 3 -0.5
"6975" 1895 2 4 -0.2
"6976" 1895 2 5 -5.4
"6977" 1895 2 6 -8.4
"6978" 1895 2 7 -8.5
"6979" 1895 2 8 -8.2
"6980" 1895 2 9 -6
"6981" 1895 2 10 -6.6
"6982" 1895 2 11 -8
"6983" 1895 2 12 -5.5
"6984" 1895 2 13 -6.7
"6985" 1895 2 14 -2.6
"6986" 1895 2 15 -1.6
"6987" 1895 2 16 -1.1
"6988" 1895 2 17 -0.9
"6989" 1895 2 18 0.2
"6990" 1895 2 19 1.6
"6991" 1895 2 20 1.4
"6992" 1895 2 21 2.3
"6993" 1895 2 22 1.5
"6994" 1895 2 23 0.1
"6995" 1895 2 24 2.9
"6996" 1895 2 25 1.3
"6997" 1895 2 26 0.9
"6998" 1895 2 27 2.6
"6999" 1895 2 28 0.6
"7000" 1895 3 1 2.6
"7001" 1895 3 2 4.4
"7002" 1895 3 3 0.6
"7003" 1895 3 4 -1.6
"7004" 1895 3 5 -0.7
"7005" 1895 3 6 -0.1
"7006" 1895 3 7 2.7
"7007" 1895 3 8 3.5
"7008" 1895 3 9 4.1
"7009" 1895 3 10 7.3
"7010" 1895 3 11 7.3
"7011" 1895 3 12 7.6
"7012" 1895 3 13 7.9
"7013" 1895 3 14 4.9
"7014" 1895 3 15 1.7
"7015" 1895 3 16 2.7
"7016" 1895 3 17 10.3
"7017" 1895 3 18 5.9
"7018" 1895 3 19 5.9
"7019" 1895 3 20 4.4
"7020" 1895 3 21 5.9
"7021" 1895 3 22 6.9
"7022" 1895 3 23 5.3
"7023" 1895 3 24 9.4
"7024" 1895 3 25 11
"7025" 1895 3 26 9.1
"7026" 1895 3 27 8.4
"7027" 1895 3 28 12.6
"7028" 1895 3 29 11.2
"7029" 1895 3 30 9.5
"7030" 1895 3 31 11.4
"7031" 1895 4 1 11.7
"7032" 1895 4 2 11.4
"7033" 1895 4 3 4.9
"7034" 1895 4 4 3.4
"7035" 1895 4 5 5.3
"7036" 1895 4 6 9.2
"7037" 1895 4 7 9.4
"7038" 1895 4 8 7.9
"7039" 1895 4 9 13.7
"7040" 1895 4 10 19.3
"7041" 1895 4 11 16.1
"7042" 1895 4 12 10.9
"7043" 1895 4 13 7.8
"7044" 1895 4 14 11.7
"7045" 1895 4 15 12.5
"7046" 1895 4 16 14.1
"7047" 1895 4 17 12.9
"7048" 1895 4 18 18.2
"7049" 1895 4 19 17.9
"7050" 1895 4 20 19.3
"7051" 1895 4 21 20.6
"7052" 1895 4 22 20.3
"7053" 1895 4 23 19.4
"7054" 1895 4 24 20
"7055" 1895 4 25 20.9
"7056" 1895 4 26 19.2
"7057" 1895 4 27 16.5
"7058" 1895 4 28 19.3
"7059" 1895 4 29 18.6
"7060" 1895 4 30 18.9
"7061" 1895 5 1 20.5
"7062" 1895 5 2 18.9
"7063" 1895 5 3 14.2
"7064" 1895 5 4 16.5
"7065" 1895 5 5 21.5
"7066" 1895 5 6 20
"7067" 1895 5 7 19.3
"7068" 1895 5 8 20.5
"7069" 1895 5 9 21.8
"7070" 1895 5 10 23.3
"7071" 1895 5 11 22.1
"7072" 1895 5 12 22.6
"7073" 1895 5 13 23
"7074" 1895 5 14 22.1
"7075" 1895 5 15 17.9
"7076" 1895 5 16 12
"7077" 1895 5 17 9.9
"7078" 1895 5 18 13.2
"7079" 1895 5 19 15.6
"7080" 1895 5 20 17.3
"7081" 1895 5 21 19.3
"7082" 1895 5 22 19.2
"7083" 1895 5 23 21.5
"7084" 1895 5 24 23.5
"7085" 1895 5 25 24.3
"7086" 1895 5 26 21.5
"7087" 1895 5 27 17.1
"7088" 1895 5 28 16.9
"7089" 1895 5 29 24.8
"7090" 1895 5 30 27.6
"7091" 1895 5 31 31.4
"7092" 1895 6 1 26.8
"7093" 1895 6 2 21.2
"7094" 1895 6 3 19.6
"7095" 1895 6 4 21.5
"7096" 1895 6 5 20.9
"7097" 1895 6 6 25.8
"7098" 1895 6 7 24.9
"7099" 1895 6 8 26.5
"7100" 1895 6 9 26.3
"7101" 1895 6 10 29.4
"7102" 1895 6 11 22.2
"7103" 1895 6 12 22.2
"7104" 1895 6 13 18
"7105" 1895 6 14 20.2
"7106" 1895 6 15 14.1
"7107" 1895 6 16 17.6
"7108" 1895 6 17 18.4
"7109" 1895 6 18 28.4
"7110" 1895 6 19 28.9
"7111" 1895 6 20 32.9
"7112" 1895 6 21 24.7
"7113" 1895 6 22 25.2
"7114" 1895 6 23 29
"7115" 1895 6 24 20.2
"7116" 1895 6 25 16.1
"7117" 1895 6 26 20.3
"7118" 1895 6 27 25.2
"7119" 1895 6 28 25.5
"7120" 1895 6 29 30
"7121" 1895 6 30 30.6
"7122" 1895 7 1 30.9
"7123" 1895 7 2 30.9
"7124" 1895 7 3 26.1
"7125" 1895 7 4 20.5
"7126" 1895 7 5 20
"7127" 1895 7 6 17.6
"7128" 1895 7 7 21
"7129" 1895 7 8 24.4
"7130" 1895 7 9 28.6
"7131" 1895 7 10 28
"7132" 1895 7 11 22.4
"7133" 1895 7 12 22
"7134" 1895 7 13 16.9
"7135" 1895 7 14 16.3
"7136" 1895 7 15 19.5
"7137" 1895 7 16 21.4
"7138" 1895 7 17 23.5
"7139" 1895 7 18 24.5
"7140" 1895 7 19 29.6
"7141" 1895 7 20 24.8
"7142" 1895 7 21 23.6
"7143" 1895 7 22 24.8
"7144" 1895 7 23 24.5
"7145" 1895 7 24 23.2
"7146" 1895 7 25 26.5
"7147" 1895 7 26 31.3
"7148" 1895 7 27 29.4
"7149" 1895 7 28 34.2
"7150" 1895 7 29 26.9
"7151" 1895 7 30 21.9
"7152" 1895 7 31 24.7
"7153" 1895 8 1 20.5
"7154" 1895 8 2 24.2
"7155" 1895 8 3 21
"7156" 1895 8 4 24
"7157" 1895 8 5 19.6
"7158" 1895 8 6 23
"7159" 1895 8 7 20.5
"7160" 1895 8 8 21
"7161" 1895 8 9 23
"7162" 1895 8 10 26.4
"7163" 1895 8 11 29
"7164" 1895 8 12 24.5
"7165" 1895 8 13 25.1
"7166" 1895 8 14 19.4
"7167" 1895 8 15 17.5
"7168" 1895 8 16 20.1
"7169" 1895 8 17 21.5
"7170" 1895 8 18 23
"7171" 1895 8 19 25.6
"7172" 1895 8 20 28.1
"7173" 1895 8 21 28.5
"7174" 1895 8 22 31.4
"7175" 1895 8 23 31.9
